now the method is:  fedavg
Preparing data ...
Done

Done setting up devices.
all communication rounds:  100
local training epoch:  1
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.3956877002971678
average acc:  0.39721932141662963
average acc:  0.40148755871023933
average acc:  0.41290469660208673
average acc:  0.4341143281563677
average acc:  0.44760085637775193
average acc:  0.4646840135420516
average acc:  0.5088524831535282
average acc:  0.5704730287882628
average acc:  0.6035637978385264
average acc:  0.6109641790215111
average acc:  0.6130170689226976
average acc:  0.6131901921466774
average acc:  0.6132310383000545
average acc:  0.6149042979208856
average acc:  0.6224651577275393
average acc:  0.6308693006004712
average acc:  0.6455266619161415
average acc:  0.6617478670619529
average acc:  0.6794049438484835
average acc:  0.6930568958143818
average acc:  0.7058521451447269
average acc:  0.7152849289688621
average acc:  0.723724497964235
average acc:  0.7308023017258156
average acc:  0.7368638460585264
average acc:  0.743944212974187
average acc:  0.7495128828935715
average acc:  0.7565663755393596
average acc:  0.7631228352479571
average acc:  0.7698478428591196
average acc:  0.7765913260850719
average acc:  0.78214059407279
average acc:  0.7860138522842739
average acc:  0.7893779546276875
average acc:  0.7942830445299423
average acc:  0.7966222653292722
average acc:  0.7979377894928483
average acc:  0.8021464012782896
  > round 50
average acc:  0.8045065842477467
average acc:  0.8082161923960827
average acc:  0.8104005019861564
average acc:  0.8126083017691149
average acc:  0.8124294899055201
average acc:  0.8127741396562114
average acc:  0.8137853845069865
average acc:  0.8166209691905992
average acc:  0.8189647589752473
average acc:  0.8214832723622717
average acc:  0.8219726509685443
average acc:  0.8228110663181157
average acc:  0.825678170855662
average acc:  0.8266839491994682
average acc:  0.8287189960799655
average acc:  0.8310641641103637
average acc:  0.8319122044907677
average acc:  0.833412898210461
average acc:  0.8366019832287221
average acc:  0.8377795115593706
average acc:  0.838627927269906
average acc:  0.8381265424714315
average acc:  0.8387957007255951
average acc:  0.8386369598465737
average acc:  0.8398235207538901
average acc:  0.8411718312870846
average acc:  0.8421766067152721
average acc:  0.8447025924405029
average acc:  0.844857949242536
average acc:  0.8453603369566297
average acc:  0.844346048227675
average acc:  0.8451810795002581
average acc:  0.8462063715057958
average acc:  0.8475571749304249
average acc:  0.8487347032610734
average acc:  0.8483910564260009
average acc:  0.849409286554786
average acc:  0.8495806260801742
average acc:  0.8502452856116653
average acc:  0.850918009935528
average acc:  0.8509165965584551
average acc:  0.8526000435415735
average acc:  0.8534484943834318
average acc:  0.8531028417171214
average acc:  0.8521005943116913
average acc:  0.8519282870020068
average acc:  0.8529465171307923
average acc:  0.8536291300855536
average acc:  0.8537811028105985
average acc:  0.8546220461829271
  > round 100
average acc:  0.8541072066838545
train finished!
