now the method is:  graphrepair
Preparing data ...
Done

Done setting up devices.
all communication rounds:  100
local training epoch:  2
average acc:  0.12056559141732452
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3198887570403133
average acc:  0.32849130871989984
average acc:  0.38420408267787576
average acc:  0.42911691362466114
average acc:  0.4425790714170799
average acc:  0.4538368769086058
average acc:  0.46572551141710516
average acc:  0.4712051288170997
average acc:  0.4752851966820513
average acc:  0.48819979931644975
average acc:  0.4904293191506208
average acc:  0.49270605574491944
average acc:  0.5022621650103309
average acc:  0.5284584338171561
average acc:  0.5331095966078537
average acc:  0.535127380465583
average acc:  0.5326825384858572
average acc:  0.5315197477881828
average acc:  0.5338453291835317
average acc:  0.5310328291835316
average acc:  0.5289135685991548
average acc:  0.528945619881206
  > round 50
average acc:  0.5285646076887144
average acc:  0.5275646076887144
average acc:  0.5288896667903693
average acc:  0.5299534965776033
average acc:  0.5287907058799288
average acc:  0.5287907058799288
average acc:  0.5277907058799289
average acc:  0.5277907058799289
average acc:  0.5252755543647774
average acc:  0.5252755543647774
average acc:  0.5270102180750509
average acc:  0.5337709679787326
average acc:  0.5368170833607178
average acc:  0.5617372827097533
average acc:  0.5786632656134513
average acc:  0.6124807590355456
average acc:  0.6538333127415863
average acc:  0.6658488939208504
average acc:  0.696990188405308
average acc:  0.7054174260227631
average acc:  0.7197469790384163
average acc:  0.733652805596682
average acc:  0.7667882038528385
average acc:  0.7882985284669541
average acc:  0.809191455205586
average acc:  0.8099711068385649
average acc:  0.8114104321315304
average acc:  0.8119133367616405
average acc:  0.8124068881466288
average acc:  0.8121459363612867
average acc:  0.8161246458808235
average acc:  0.8247843376466955
average acc:  0.8259001786808822
average acc:  0.8240540248347283
average acc:  0.8237015961503357
average acc:  0.8267793155324028
average acc:  0.8289079387208087
average acc:  0.8289079387208087
average acc:  0.8268375453460675
average acc:  0.8318159455690328
average acc:  0.8319029020907719
average acc:  0.8319029020907719
average acc:  0.8331849533728233
average acc:  0.8331849533728233
average acc:  0.832837731150601
average acc:  0.8316625174753873
average acc:  0.8329445687574386
average acc:  0.833152902090772
average acc:  0.8378909176983527
average acc:  0.8387374896047073
  > round 100
average acc:  0.8356155089283787
train finished!
