now the method is:  gcfl
Preparing data ...
Done

Done setting up devices.
all communication rounds:  100
local training epoch:  2
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.3174162295677858
average acc:  0.32257495972651595
average acc:  0.36519930640075493
average acc:  0.3865950497957463
average acc:  0.4017298981961502
average acc:  0.40085582939082826
average acc:  0.4100314173412801
average acc:  0.41150269066499917
average acc:  0.4109945411917334
average acc:  0.4155533290680832
average acc:  0.41527127778603196
average acc:  0.42672141052830953
average acc:  0.43504138528336744
average acc:  0.44980400092518885
average acc:  0.44857790273397435
average acc:  0.4591162281416568
average acc:  0.46115237243608903
average acc:  0.46823081602583516
average acc:  0.46649470491472406
average acc:  0.4700463845012874
average acc:  0.46776356481262543
average acc:  0.4662000443537561
average acc:  0.4711893978187193
average acc:  0.47157828670760826
average acc:  0.47318668779161904
average acc:  0.4719104540990496
  > round 50
average acc:  0.47288470784348113
average acc:  0.47288470784348113
average acc:  0.4764865229313995
average acc:  0.47527124515362174
average acc:  0.4778506102329868
average acc:  0.47775164932254643
average acc:  0.47775164932254643
average acc:  0.4763627604336575
average acc:  0.4763627604336575
average acc:  0.47874506332645383
average acc:  0.4812342038260879
average acc:  0.48217089633254784
average acc:  0.48234027302631477
average acc:  0.4810081056348734
average acc:  0.48223420382608795
average acc:  0.4831708963325479
average acc:  0.48598499889665037
average acc:  0.4866396401210592
average acc:  0.49167889673008325
average acc:  0.49547232313852474
average acc:  0.509639588885922
average acc:  0.5228842941944513
average acc:  0.5320509808574
average acc:  0.5320354455652689
average acc:  0.5309910805661516
average acc:  0.534931649041604
average acc:  0.5409954988251199
average acc:  0.5365820765732783
average acc:  0.5352236754892674
average acc:  0.5463292296937345
average acc:  0.5476753835398884
average acc:  0.5490111182094858
average acc:  0.5464594386229226
average acc:  0.5501626729250697
average acc:  0.5512298081732496
average acc:  0.5553259620194035
average acc:  0.5569299925619546
average acc:  0.5553580133014548
average acc:  0.5577970376916987
average acc:  0.5675183714572214
average acc:  0.5726908751053348
average acc:  0.5700430616688997
average acc:  0.5739366209930263
average acc:  0.5726204593220083
average acc:  0.5723017334358595
average acc:  0.5724879036486255
average acc:  0.5715769292087107
average acc:  0.5739459370125011
average acc:  0.5712699349343947
average acc:  0.5752465687479156
  > round 100
average acc:  0.5779623872448767
GCFL Plus train finished!
